id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50225304,"Sjarmerende bolig sentralt på Bygdøy, nær sjø",114340923,Elisabeth Andenæs,,Frogner,59.90312,10.69577,Entire home/apt,2400,5,3,2022-08-06,0.20,1,31,2,
50229495,5 min til IKEA Furuset på sentralt  Gamle Furuset,402057131,Hassan,,Alna,59.94018,10.88692,Entire home/apt,667,7,5,2021-07-21,0.34,2,207,0,
50234085,Familiebolig med skjermet uteområde,405518774,Kristian,,Søndre Nordstrand,59.809639,10.81946,Entire home/apt,1300,2,7,2022-08-07,0.48,1,0,2,
50234494,"New, two-bedroom flat 6 min from Oslo city centre",16840393,Andreas,,Gamle Oslo,59.91334,10.78637,Entire home/apt,1175,3,2,2022-08-02,0.14,1,0,1,
50237272,"Appartment with veranda, garden and forest near by",405556297,Henriette,,Nordre Aker,59.94955,10.79612,Entire home/apt,1500,4,14,2022-08-15,1.03,1,0,10,
50237479,Atriumshus med skjermet fantastisk hage,22359136,Ingunn,,Nordstrand,59.85826,10.81264,Entire home/apt,2000,5,2,2021-08-05,0.14,1,0,0,
50241723,Charming apartment in the old town. 80 sq m!,39785243,Helen,,Gamle Oslo,59.90831,10.78161,Entire home/apt,1650,3,8,2022-06-26,0.56,1,7,4,
50243517,"Spacious 2nd floor w/ balcony, garden and parking!",57495821,Sonia,,Ullern,59.93495,10.69677,Entire home/apt,2400,4,6,2021-12-24,0.41,3,0,1,
50254028,"2-roms leilighet Pen,sentralt på Gamle Furuset.",402057131,Hassan,,Alna,59.93949,10.88845,Entire home/apt,667,7,2,2022-04-03,0.21,2,176,2,
50262034,Rekkehus med hage til leie på Smestad,130763938,Jarle,,Vestre Aker,59.93981,10.68731,Entire home/apt,1400,3,7,2022-07-28,0.47,1,0,4,
50265222,Large Villa in Oslo west with a beautiful pool.,405832532,Pia,,Vestre Aker,59.95933,10.69347,Entire home/apt,8714,2,7,2022-09-05,1.67,1,318,7,
50275262,"Moderne loftsleilighet med takterrasse, sentralt!",350378621,Silje Marie,,St. Hanshaugen,59.92575,10.75053,Entire home/apt,1857,2,6,2022-09-04,0.56,2,5,6,
50277328,cozy apartment with balconies in a green area,351189029,Ösp,,Søndre Nordstrand,59.82895,10.78967,Entire home/apt,1200,7,2,2021-10-25,0.14,1,88,1,
50283245,Bright and modern apartment centrally in Oslo city,8366232,Tatiana,,Ullern,59.92303,10.68049,Entire home/apt,1100,6,3,2022-07-17,0.21,1,13,2,
50284518,"Koselig hus med mye sol, sentralt og markanært",256799001,Aida,,Østensjø,59.91019,10.85592,Entire home/apt,2100,3,12,2022-08-06,0.88,1,355,10,
50285929,Modern 2BR apt. with balcony,39914063,Magne,,Nordstrand,59.87565,10.8172,Entire home/apt,1999,3,9,2022-08-27,0.60,1,88,5,
50289282,Studio in the woods - fantastic location in Oslo,44432053,Hans Jørgen,,Nordre Aker,59.95181,10.71448,Entire home/apt,600,5,0,,,1,0,0,
50293395,Central apartment in quiet surroundings,89956906,Ane,,Sagene,59.9338,10.75329,Entire home/apt,1114,2,13,2022-09-04,0.91,1,125,10,
50295556,Søt leilighet 50 meter fra Østmarka,63505458,Simen,,Østensjø,59.90121,10.84973,Entire home/apt,1300,150,0,,,1,117,0,
50296334,"Nydelig leilighet i sentrum, Sagene",70601888,Anna,,Sagene,59.93879060281837,10.757145419273954,Entire home/apt,950,2,10,2022-09-19,3.37,1,242,10,
50298226,Koselig leilighet sentralt i Oslo,115041799,Ole,,Gamle Oslo,59.91086,10.77157,Entire home/apt,1500,7,3,2022-07-31,0.21,1,0,1,
50303233,Unik og sentral 3-roms med fantastisk terrasse,67578286,Elisabeth,,St. Hanshaugen,59.93175,10.72821,Entire home/apt,1800,6,2,2021-08-19,0.15,1,0,0,
50303672,"Privat leilighet, 3-5 sengeplasser, solrik balkong",127535072,Magnar,,Ullern,59.92924,10.65607,Entire home/apt,700,5,3,2022-07-19,0.21,1,16,2,
50309411,Holmenkollen - house with spectacular view,138518433,Therese Nordberg,,Vestre Aker,59.962719,10.653746,Entire home/apt,10000,7,2,2022-01-03,0.15,1,121,1,
50318474,"Great 3 rooms flat, close to center & fjord beach",406332612,Diane,,Nordstrand,59.8589,10.78833,Entire home/apt,1250,7,0,,,1,0,0,
50319133,Bak slottet - hyggelig leilighet,155014626,Mona Elisabeth Falck,,Frogner,59.91659,10.71897,Entire home/apt,3000,3,16,2022-08-27,1.09,1,102,11,
50335115,Modern penthouse apartment with view,45053453,Tarjei,,Ullern,59.91913,10.65444,Entire home/apt,1800,2,10,2021-08-12,0.66,1,0,0,
50340390,Sjarmerende loftsleilighet midt på Grünerløkka,57217598,Rikke,,Grünerløkka,59.92259,10.75786,Entire home/apt,656,3,12,2022-07-28,0.86,1,2,8,
50341089,Charming & central apartment in a quiet location.,49705999,Julien,,Grünerløkka,59.93111,10.79101,Entire home/apt,1636,2,34,2022-09-04,2.21,1,34,25,
50342130,Unikt arkitekttegnet lite fabrikk hus på rodeløkka,1865056,Margrethe,,Grünerløkka,59.92565,10.77431,Entire home/apt,4200,2,40,2022-08-31,2.63,1,209,24,
50358684,Koselig og familievennlig på Torshov,310928006,Sofia,,Sagene,59.93392,10.76744,Entire home/apt,1500,5,9,2022-08-08,0.60,1,9,6,
50361752,Spacious 1st floor w/ lovely garden central Oslo,57495821,Sonia,,Ullern,59.93525,10.69653,Entire home/apt,2200,4,5,2022-08-07,0.35,3,0,1,
50365819,Grei 2-roms leilighet med gratis parkering og fint uteområdet,137219181,Håkon,,Grünerløkka,59.92949,10.78663,Entire home/apt,400,1,6,2021-08-09,0.39,1,0,0,
50370666,"Nyoppusset, rolig, 3 soverom på vakre Bjerke",52635324,Victor,,Bjerke,59.94095,10.82015,Entire home/apt,990,3,5,2021-08-06,0.34,1,0,0,
50373854,New apartment - very close to tram and shops,7230694,Johnny,,Nordstrand,59.86416,10.79931,Entire home/apt,766,2,59,2022-09-15,3.86,1,151,48,
50375702,Private room in Oslo,164717004,Medhanie,,Grorud,59.96824,10.90229,Shared room,450,1,0,,,1,0,0,
50376847,Modern apartment in beautiful area of the city,15368806,Vegard,,Grünerløkka,59.9276,10.77194,Entire home/apt,1100,2,7,2022-06-24,0.48,1,0,5,
50378987,"Centrally located, sunny 5th floor with balcony",55397690,Filip,,Gamle Oslo,59.91413,10.76816,Entire home/apt,1939,5,5,2022-08-10,0.33,1,0,2,
50379275,Lovely 1-bedroom condo in Skillebekk/Frogner,49879642,Natasha,,Frogner,59.91241,10.70767,Entire home/apt,930,2,52,2022-09-05,3.45,2,316,43,
50387459,Trendy & cosy penthouse with balcony and fireplace,51432750,Mari,,Grünerløkka,59.92117,10.76112,Entire home/apt,1450,3,8,2022-07-25,0.62,1,86,6,
50392399,"Delikat 2 roms i 2. etg med heis, veranda og grill",33131375,Wetle,,Gamle Oslo,59.90246,10.7857,Entire home/apt,900,2,0,,,1,0,0,
50395460,Unikt Townhouse på over 160kvm på Grünerløkka,8381942,Christoffer,,Grünerløkka,59.92359,10.76118,Entire home/apt,2500,2,3,2022-07-23,0.22,1,0,2,
50396989,Sentral leilighet på Majorstuen - Gode solforhold,42381424,Odin,,Frogner,59.92733,10.71529,Entire home/apt,599,4,15,2022-06-15,0.97,1,0,5,
50398585,Unique apartment in the heart of Grünerløkka 110m2,644582,Nicolai,,Grünerløkka,59.92337,10.75764,Entire home/apt,6500,3,0,,,1,83,0,
50409764,Torshovs perle,145516395,Line,,Sagene,59.93361,10.76638,Entire home/apt,950,3,4,2021-08-10,0.27,1,0,0,
50419123,Bright and Beautiful apartment in a great location,177491194,Deepika,,Gamle Oslo,59.91208,10.78858,Entire home/apt,903,4,3,2021-07-25,0.20,1,0,0,
50439887,Private room in Great location - Grünerløkka,92954855,Christoffer,,Grünerløkka,59.927,10.76164,Private room,495,1,55,2022-09-06,3.60,2,0,42,
50449861,Colorful and modern apartment in Rodeløkka,244055836,Maria,,Grünerløkka,59.923508,10.772849,Entire home/apt,1664,2,6,2022-07-27,0.40,1,3,3,
50453065,Stor villa med boblebad og kort vei til stranden,72851010,Linda,,Nordstrand,59.84754,10.78291,Entire home/apt,3100,6,1,2022-08-20,0.83,1,215,1,
50453286,Room in lovely mansion downtown Oslo,44366184,Tomas,,Frogner,59.92324,10.73016,Private room,800,2,2,2021-07-21,0.14,3,0,0,
