id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53211849,"Appartamento ( in Multiproprietà) Residence CarpeDiem- Golf Club Marco Simone 
ROMA",410336744,Carmen,,IV Tiburtina,41.9582,12.63023,Entire home/apt,85,7,0,,,1,358,0,
53104724,Castel Sant'Angelo APT. FLAVIO- Exclusive & Luxury,429488345,Livio,,I Centro Storico,41.900532,12.466402,Entire home/apt,349,2,2,2022-06-25,0.24,2,297,2,
53105128,Camera matrimoniale vista cupola,48168101,Silvia,,I Centro Storico,41.90741,12.45857,Private room,70,1,0,,,10,0,0,
53304723,Charming apartment with patio close to Colosseum,14236317,Fab,,I Centro Storico,41.894207,12.501825,Entire home/apt,218,1,19,2022-09-09,6.63,1,138,19,
53307539,Stylish 3 bedrooms flat into an ex designer office,333775,Cristiana,,I Centro Storico,41.91024,12.46263,Entire home/apt,230,2,0,,,1,343,0,
53212128,TestacciHome: cozy apartment in the heart of Rome,13212267,Martina,,I Centro Storico,41.8786,12.47549,Entire home/apt,90,1,0,,,1,73,0,
53310651,Da Andrea  Locazione turistica Pantheon,230204191,Andrea,,I Centro Storico,41.89926,12.47903,Entire home/apt,194,1,7,2022-09-06,2.47,1,156,7,QA/2022/17345
53105155,1 JMartins camera deluxe  vicino Fontana di Trevi,126782257,Joice,,I Centro Storico,41.90486,12.49545,Private room,120,2,1,2021-11-22,0.10,6,326,1,
53105298,Tripla vista cupola,48168101,Silvia,,I Centro Storico,41.90792,12.45874,Private room,90,1,0,,,10,0,0,
53216455,Roma Romantica,36200241,Fabrizio,,I Centro Storico,41.89359,12.50118,Private room,81,4,25,2022-08-18,2.48,2,139,25,
53108491,Bellini Superior Double Room with Terrace Roma,14329707,Andrea,,I Centro Storico,41.9013,12.47037,Private room,302,1,1,2021-11-11,0.10,6,288,1,
53109540,Granny's House - beautiful private garden!,75909994,Michela,,XIV Monte Mario,41.91244,12.42348,Entire home/apt,70,2,1,2022-02-23,0.15,1,318,1,ATR-010683-6
53318542,Bilocale Zona Prati - Ottaviano,61052457,Irina,,I Centro Storico,41.90615,12.45925,Entire home/apt,86,3,8,2022-08-26,1.24,14,322,8,
53319520,Dea Roma Inn 3 Pax,420410973,Torquato,,II Parioli/Nomentano,41.91333,12.518678,Private room,146,1,0,,,6,179,0,
53321950,Navona 7.3 Suite,128514736,Fabio E Mauro,,I Centro Storico,41.89799,12.46862,Entire home/apt,190,2,40,2022-08-31,4.72,12,324,40,
53216658,Bright top floor apartment for art lovers,423873068,Fortunato,,IX Eur,41.81967,12.4515,Entire home/apt,110,3,14,2022-08-10,1.73,2,338,14,
53223424,B&B della Mamma Camera Matrimoniale,430184923,B&B Della Mamma,,II Parioli/Nomentano,41.910545,12.515931,Private room,135,1,1,2022-05-22,0.26,3,71,1,AFF-003843-7
53323890,Camera Privata Vicino Piazza San Pietro,411430338,Natalina,,XIII Aurelia,41.89494,12.45257,Private room,103,2,0,,,8,154,0,
53110903,Charming apartment in front of Spanish Steps,429955383,Isabella,,I Centro Storico,41.905334,12.482448,Entire home/apt,105,1,12,2022-09-09,1.34,3,286,12,
53114025,Grazioso Appartamento zona Ostiense - Piramide,41647287,Agostino,,VIII Appia Antica,41.87485918389317,12.480433821743775,Entire home/apt,75,5,2,2022-08-29,2,1,0,2,
53223498,B&B della Mamma Camera Doppia con Letti Singoli,430184923,B&B Della Mamma,,II Parioli/Nomentano,41.910545,12.515931,Private room,135,1,1,2022-06-19,0.35,3,64,1,AFF-003843-7
53223564,B&B dell Mamma  Camera Singola/Letto alla Francese,430184923,B&B Della Mamma,,II Parioli/Nomentano,41.910545,12.515931,Private room,125,1,1,2022-02-01,0.13,3,72,1,AFF-003843-7
